MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
368084090,2022-01-01T23:30:00,29.96851,-90.39742,5.3,180.4,200.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:16:49,29.969,-90.39786,0.2,223.4,164.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:19:10,29.96897,-90.39791,0.1,232.0,174.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:39:30,29.96861,-90.39807,1.7,6.7,2.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:34:29,29.96821,-90.39806,0.1,311.0,355.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:22:31,29.96902,-90.39795,0.1,320.9,184.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:44:10,29.97258,-90.39812,3.6,353.2,349.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:23:40,29.96901,-90.39796,0.1,320.9,185.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:25:49,29.969,-90.39798,0.0,320.9,185.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:41:50,29.97031,-90.39788,3.3,0.2,354.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:28:59,29.96918,-90.39787,1.7,39.2,202.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:51:02,29.97984,-90.40033,3.8,336.2,324.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:53:20,29.98177,-90.40195,3.9,326.9,326.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:46:30,29.97505,-90.39863,4.1,350.7,346.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:56:49,29.98501,-90.40437,4.0,321.6,312.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:13:39,29.96908,-90.39775,0.2,252.5,111.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:38:10,29.96825,-90.39809,0.3,340.7,357.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:18:00,29.969,-90.39789,0.0,283.3,172.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:40:40,29.96933,-90.39795,2.7,11.1,359.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:15:47,29.96905,-90.39782,0.1,231.6,155.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:26:55,29.969,-90.39797,0.2,320.9,186.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:48:50,29.97762,-90.39935,4.0,340.7,337.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:54:39,29.983,-90.40283,3.9,326.6,324.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:52:11,29.98083,-90.40112,3.8,320.6,322.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:59:19,29.98691,-90.40673,4.3,310.3,306.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T10:24:30,29.96729,-90.39823,0.0,277.3,5.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:45:20,29.97375,-90.39838,3.8,348.3,348.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:50:01,29.97882,-90.39991,3.8,337.8,335.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:55:40,29.98395,-90.40351,4.0,327.1,320.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T23:57:59,29.98594,-90.4054,4.0,313.0,308.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T10:36:19,29.96729,-90.39824,0.0,277.3,4.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T10:41:59,29.96729,-90.39822,0.0,277.3,4.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T10:59:29,29.9673,-90.39823,0.0,277.3,4.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T11:07:20,29.96732,-90.39824,0.0,277.3,3.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T11:09:40,29.96731,-90.39826,0.1,277.3,5.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T11:14:40,29.9673,-90.39826,0.0,277.3,5.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T11:34:59,29.96729,-90.39827,0.0,277.3,5.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T11:53:50,29.96731,-90.39825,0.0,277.3,5.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T12:09:30,29.9673,-90.39824,0.0,277.3,5.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T12:10:40,29.96729,-90.39826,0.0,277.3,5.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T12:15:20,29.96729,-90.39824,0.0,277.3,4.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T12:16:30,29.96729,-90.39823,0.0,277.3,4.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T12:18:49,29.9673,-90.39823,0.0,277.3,5.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T12:49:10,29.9673,-90.39822,0.0,277.3,4.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T12:58:00,29.9673,-90.39822,0.0,277.3,4.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
368084090,2022-01-01T12:59:10,29.96731,-90.39822,0.0,277.3,4.0,LARRY B WHIPPLE,,WDK7401,57.0,12.0,23.0,10.0,3.0,57.0,A
